task_id,scenario_id,oracle_ids,test_ids,gate
TASK-P04-03,SCN-CTX-01,ORACLE-029;ORACLE-030,TEST-CTX-01;TEST-CTX-02;TEST-CTX-05,GATE-CONTEXT
TASK-P04-03,SCN-CTX-02,ORACLE-029;ORACLE-030,TEST-CTX-01;TEST-CTX-02;TEST-CTX-05,GATE-CONTEXT
TASK-P04-03,SCN-CTX-06,ORACLE-029;ORACLE-030,TEST-CTX-01;TEST-CTX-02;TEST-CTX-05,GATE-CONTEXT
TASK-P04-03,SCN-CTX-07,ORACLE-029;ORACLE-030,TEST-CTX-01;TEST-CTX-02;TEST-CTX-05,GATE-CONTEXT
TASK-P04-03,SCN-CTX-08,ORACLE-029;ORACLE-030,TEST-CTX-01;TEST-CTX-02;TEST-CTX-05,GATE-CONTEXT
TASK-P04-04,SCN-CTX-03,ORACLE-031;ORACLE-033,TEST-CTX-03;TEST-CTX-04,GATE-CONTEXT
TASK-P04-04,SCN-CTX-04,ORACLE-031;ORACLE-033,TEST-CTX-03;TEST-CTX-04,GATE-CONTEXT
TASK-P04-04,SCN-CTX-05,ORACLE-031;ORACLE-033,TEST-CTX-03;TEST-CTX-04,GATE-CONTEXT
TASK-P04-04,SCN-CTX-09,ORACLE-031;ORACLE-033,TEST-CTX-03;TEST-CTX-04,GATE-CONTEXT
TASK-P04-05,SCN-TOK-02,ORACLE-032;ORACLE-034;ORACLE-039;ORACLE-040,TEST-MET-01;TEST-MET-02,GATE-TOKEN
TASK-P04-05,SCN-TOK-03,ORACLE-032;ORACLE-034;ORACLE-039;ORACLE-040,TEST-MET-01;TEST-MET-02,GATE-TOKEN
TASK-P04-05,SCN-MET-01,ORACLE-032;ORACLE-034;ORACLE-039;ORACLE-040,TEST-MET-01;TEST-MET-02,GATE-TOKEN
TASK-P04-05,SCN-MET-02,ORACLE-032;ORACLE-034;ORACLE-039;ORACLE-040,TEST-MET-01;TEST-MET-02,GATE-TOKEN
TASK-P04-05,SCN-TOK-01,ORACLE-032;ORACLE-034;ORACLE-039;ORACLE-040,TEST-MET-01;TEST-MET-02,GATE-TOKEN
TASK-P05-01,SCN-MIS-01,ORACLE-007,TEST-004,GATE-E2E
TASK-P05-01,SCN-MIS-02,ORACLE-007,TEST-004,GATE-E2E
TASK-P05-01,SCN-MIS-03,ORACLE-007,TEST-004,GATE-E2E
TASK-P05-02,SCN-MIS-04,ORACLE-008;ORACLE-028,TEST-005;TEST-TOK-02,GATE-ADAPTER
TASK-P05-02,SCN-MIS-05,ORACLE-008;ORACLE-028,TEST-005;TEST-TOK-02,GATE-ADAPTER
TASK-P05-02,SCN-LOC-03,ORACLE-008;ORACLE-028,TEST-005;TEST-TOK-02,GATE-ADAPTER
TASK-P05-02,SCN-X-09,ORACLE-008;ORACLE-028,TEST-005;TEST-TOK-02,GATE-ADAPTER
TASK-P05-03,SCN-MIS-02,ORACLE-023,TEST-017,GATE-ADAPTER
TASK-P05-03,SCN-X-06,ORACLE-023,TEST-017,GATE-ADAPTER
TASK-P05-04,SCN-GUI-01,ORACLE-032;ORACLE-035,TEST-GUI-01;TEST-TOK-01,GATE-GENUI
TASK-P05-04,SCN-TOK-02,ORACLE-032;ORACLE-035,TEST-GUI-01;TEST-TOK-01,GATE-GENUI
TASK-P05-05,SCN-GUI-02,ORACLE-035;ORACLE-036;ORACLE-038,TEST-GUI-02;TEST-GUI-04,GATE-GENUI
TASK-P05-05,SCN-GUI-03,ORACLE-035;ORACLE-036;ORACLE-038,TEST-GUI-02;TEST-GUI-04,GATE-GENUI
TASK-P05-05,SCN-GUI-04,ORACLE-035;ORACLE-036;ORACLE-038,TEST-GUI-02;TEST-GUI-04,GATE-GENUI
TASK-P05-05,SCN-GUI-06,ORACLE-035;ORACLE-036;ORACLE-038,TEST-GUI-02;TEST-GUI-04,GATE-GENUI
TASK-P05-05,SCN-GUI-07,ORACLE-035;ORACLE-036;ORACLE-038,TEST-GUI-02;TEST-GUI-04,GATE-GENUI
TASK-P05-06,SCN-GUI-05,ORACLE-037,TEST-GUI-03,GATE-SECURITY
TASK-P06-01,SCN-FLD-05,ORACLE-006;ORACLE-018,TEST-003;TEST-012,GATE-SECURITY
TASK-P06-01,SCN-ERR-04,ORACLE-006;ORACLE-018,TEST-003;TEST-012,GATE-SECURITY
TASK-P06-01,SCN-ERR-05,ORACLE-006;ORACLE-018,TEST-003;TEST-012,GATE-SECURITY
TASK-P06-01,SCN-ERR-06,ORACLE-006;ORACLE-018,TEST-003;TEST-012,GATE-SECURITY
TASK-P07-01,SCN-EVD-01,ORACLE-015;ORACLE-023,TEST-010;TEST-017,GATE-INTEGRATION
TASK-P07-01,SCN-EVD-02,ORACLE-015;ORACLE-023,TEST-010;TEST-017,GATE-INTEGRATION
TASK-P07-01,SCN-EVD-03,ORACLE-015;ORACLE-023,TEST-010;TEST-017,GATE-INTEGRATION
TASK-P07-01,SCN-EVD-04,ORACLE-015;ORACLE-023,TEST-010;TEST-017,GATE-INTEGRATION
TASK-P07-01,SCN-X-08,ORACLE-015;ORACLE-023,TEST-010;TEST-017,GATE-INTEGRATION
TASK-P08-01,SCN-RSP-01,ORACLE-020;ORACLE-025,TEST-014,GATE-RESPONSIVE
TASK-P08-01,SCN-RSP-02,ORACLE-020;ORACLE-025,TEST-014,GATE-RESPONSIVE
TASK-P08-01,SCN-RSP-03,ORACLE-020;ORACLE-025,TEST-014,GATE-RESPONSIVE
TASK-P08-01,SCN-RSP-04,ORACLE-020;ORACLE-025,TEST-014,GATE-RESPONSIVE
TASK-P08-01,SCN-RSP-05,ORACLE-020;ORACLE-025,TEST-014,GATE-RESPONSIVE
TASK-P08-01,SCN-X-03,ORACLE-020;ORACLE-025,TEST-014,GATE-RESPONSIVE
TASK-P08-02,SCN-A11Y-01,ORACLE-021;ORACLE-022,TEST-015;TEST-016,GATE-A11Y
TASK-P08-02,SCN-A11Y-02,ORACLE-021;ORACLE-022,TEST-015;TEST-016,GATE-A11Y
TASK-P08-02,SCN-A11Y-03,ORACLE-021;ORACLE-022,TEST-015;TEST-016,GATE-A11Y
TASK-P08-02,SCN-BIDI-01,ORACLE-021;ORACLE-022,TEST-015;TEST-016,GATE-A11Y
TASK-P08-02,SCN-X-04,ORACLE-021;ORACLE-022,TEST-015;TEST-016,GATE-A11Y
TASK-P08-03,SCN-ERR-04,ORACLE-014;ORACLE-018;ORACLE-019;ORACLE-027,TEST-009;TEST-012,GATE-SECURITY
TASK-P08-03,SCN-ERR-05,ORACLE-014;ORACLE-018;ORACLE-019;ORACLE-027,TEST-009;TEST-012,GATE-SECURITY
TASK-P08-03,SCN-ERR-06,ORACLE-014;ORACLE-018;ORACLE-019;ORACLE-027,TEST-009;TEST-012,GATE-SECURITY
TASK-P08-03,SCN-OUT-03,ORACLE-014;ORACLE-018;ORACLE-019;ORACLE-027,TEST-009;TEST-012,GATE-SECURITY
TASK-P08-03,SCN-X-07,ORACLE-014;ORACLE-018;ORACLE-019;ORACLE-027,TEST-009;TEST-012,GATE-SECURITY
TASK-P09-01,SCN-ORI-01,ORACLE-001;ORACLE-019;ORACLE-023,TEST-013;TEST-017,GATE-WINDOWS
TASK-P09-01,SCN-LOC-01,ORACLE-001;ORACLE-019;ORACLE-023,TEST-013;TEST-017,GATE-WINDOWS
TASK-P09-01,SCN-LOC-02,ORACLE-001;ORACLE-019;ORACLE-023,TEST-013;TEST-017,GATE-WINDOWS
TASK-P09-02,SCN-ORI-03,ORACLE-024,TEST-018,GATE-PILOT
TASK-P09-03,,,TEST-018,GATE-FULL
